Titanic;Drama Romance Thriller;7,5;7562;1645034188
The Dark Knight Rises;Action Crime Drama Thriller;7,6;9106;834939099
The Dark Knight;Drama Action Crime Thriller;6,4;12002;819558444
The Jungle Book;Family Adventure Drama Fantasy;8;2892;791550600
The Lion King;Family Animation Drama;7,3;5376;743241776
The Twilight Saga: Breaking Dawn - Part 2;Adventure Fantasy Drama Romance;6,9;2553;709000000
Inside Out;Drama Comedy Animation Family;5,6;6560;682611174
The Twilight Saga: New Moon;Adventure Fantasy Drama Romance;6,1;2436;659827462
The Sixth Sense;Mystery Thriller Drama;6,3;3147;632806292
The Twilight Saga: Eclipse;Adventure Fantasy Drama Romance;5,7;2301;630491347
Forrest Gump;Comedy Drama Romance;6;7927;622945399
Gravity;Science Fiction Thriller Drama;5,8;5751;611392705
The Passion of the Christ;Drama;6;864;581899420
Dawn of the Planet of the Apes;Science Fiction Action Drama Thriller;7;4410;540644566
Fifty Shades of Grey;Drama Romance Thriller;6,9;3254;531006128
The Martian;Drama Adventure Science Fiction;6,6;7268;522161890
Interstellar;Adventure Drama Science Fiction;7,9;10867;510120017
Life of Pi;Adventure Drama Action;6,2;5797;489016565
Ghost;Fantasy Drama Thriller Mystery Romance;5,9;1339;483000000
Cinderella;Romance Fantasy Family Drama;7,3;2374;448514353
