The Dark Knight Rises;Action Crime Drama Thriller;7,6;9106;834939099
The Dark Knight;Drama Action Crime Thriller;6,4;12002;819558444
Spectre;Action Adventure Crime;6,3;4466;635674609
Suicide Squad;Action Adventure Crime Fantasy Science Fiction;5,2;7458;570000000
Fast Five;Action Thriller Crime;6,8;2438;501137675
Sherlock Holmes;Action Adventure Crime Mystery;7,6;5766;434028679
Quantum of Solace;Adventure Action Thriller Crime;6,1;2965;386090727
Ocean's Eleven;Thriller Crime;7,5;3783;365717150
Home Alone 2: Lost in New York;Comedy Family Adventure Crime;6,6;2395;340991681
Taken 2;Action Crime Thriller;6,2;2757;331141306
The Mask;Romance Comedy Crime Fantasy;7,3;2472;328583407
The Fugitive;Adventure Action Thriller Crime Mystery;0;1220;324875760
Speed;Action Adventure Crime;6,2;1783;320448145
Beverly Hills Cop;Action Comedy Crime;4,2;961;301360478
Catch Me If You Can;Drama Crime;6,7;3795;300114312
Se7en;Crime Mystery Thriller;7,2;5765;294311859
The Wolf of Wall Street;Crime Drama Comedy;6;6571;292000694
Lethal Weapon 3;Adventure Action Comedy Thriller Crime;5,3;811;286731527
Beverly Hills Cop II;Action Comedy Crime;5,9;613;279965036
Austin Powers: The Spy Who Shagged Me;Adventure Comedy Crime Science Fiction;7,5;1011;277940086
