Jaws;Horror Thriller Adventure;6,3;2542;463654000
I Am Legend;Drama Horror Action Thriller Science Fiction;6,2;4853;435349010
The Exorcist;Drama Horror Thriller;5,8;2005;433306145
World War Z;Action Drama Horror Science Fiction Thriller;7,3;5560;331865000
The Conjuring;Horror Thriller;5,4;3092;305000141
The Conjuring 2;Horror;5,2;1949;280170008
Annabelle;Horror;6,1;1517;248773813
The Blair Witch Project;Horror Mystery;6,2;1055;247940000
Resident Evil: Afterlife;Action Adventure Horror Science Fiction;5,7;1363;240228084
Paranormal Activity 3;Horror;5,4;669;200703818
Paranormal Activity;Horror Mystery;8;1316;193340800
Dracula;Romance Horror;7,1;1056;175862692
Hansel & Gretel: Witch Hunters;Fantasy Horror Action;7,7;3239;174803475
Paranormal Activity 2;Horror Thriller;7;722;174512032
The Grudge;Horror Mystery Thriller;5,9;865;173474602
Jaws 2;Horror Thriller;5;406;167884007
Aliens;Horror Action Thriller Science Fiction;7,5;3220;164816455
Interview with the Vampire;Horror Romance;5,6;1516;163664608
The Addams Family;Horror Comedy Fantasy;7;848;161502426
Scream;Crime Horror Mystery;7,1;1476;159046663
