Avatar;Action Adventure Fantasy Science Fiction;7,2;11800;2550965087
Jurassic World;Action Adventure Science Fiction Thriller;6,5;8662;1363528810
The Avengers;Science Fiction Action Adventure;7,4;11776;1299557910
Avengers: Age of Ultron;Action Adventure Science Fiction;7,3;6767;1125403694
Iron Man 3;Action Adventure Science Fiction;6,7;8806;1015439994
Transformers: Dark of the Moon;Action Science Fiction Adventure;6,7;3299;928746996
Captain America: Civil War;Adventure Action Science Fiction;7,1;7241;903304495
Transformers: Age of Extinction;Science Fiction Action Adventure;6;3095;881405097
Jurassic Park;Adventure Science Fiction;0;4856;857100000
Star Wars: Episode I - The Phantom Menace;Adventure Action Science Fiction;7,5;4432;809317558
E.T. the Extra-Terrestrial;Science Fiction Adventure Family Fantasy;5,7;3269;782410554
Star Wars;Adventure Action Science Fiction;4,3;6624;764398007
Independence Day;Action Adventure Science Fiction;5,7;3260;741969268
Star Wars: Episode III - Revenge of the Sith;Science Fiction Adventure Action;5,9;4116;737000000
The Hunger Games: Catching Fire;Adventure Action Science Fiction;7;6495;717423452
Transformers: Revenge of the Fallen;Science Fiction Action Adventure;7;3138;686297228
Inception;Action Thriller Science Fiction Mystery Adventure;8,1;13752;665532764
The Hunger Games: Mockingjay - Part 1;Science Fiction Adventure Thriller;7,5;5584;627100229
The Hunger Games;Science Fiction Adventure Fantasy;7,3;9455;616210692
Gravity;Science Fiction Thriller Drama;5,8;5751;611392705
