Bruce Willis;28;2982653936
Robert De;28;1036567320
Nicolas Cage;27;1236097589
Johnny Depp;27;3693230820
Denzel Washington;26;1612299613
Tom Cruise;23;5570390285
Adam Sandler;23;2328551012
Matt Damon;23;2093191442
Ben Stiller;22;3640397222
Arnold Schwarzenegger;22;2177343002
George Clooney;22;1943915937
Tom Hanks;22;5423207589
Eddie Murphy;21;1366094534
John Travolta;21;973532085
Sylvester Stallone;20;1621490316
Sandra Bullock;20;2721066195
Jim Carrey;20;2502089177
Kevin Costner;19;1007714293
Mark Wahlberg;19;2391287319
Sean Connery;19;1329642820
